,Longitude,Latitude,crustal_thickness,Elevation,crust_m,corrected_crust_m
0,-22.72,63.82,15.0,22.316606875,-15000.0,-15022.316606875
1,-23.815,63.4665,14.0,-103.516002951,-14000.0,-13896.483997049
2,-23.41,63.64,14.2,-192.078748125,-14200.0,-14007.921251875
3,-24.787,62.9645,11.5,-500.006109134,-11500.0,-10999.993890866
4,-25.5,62.5465,11.05,-627.931492875,-11050.0,-10422.068507125
5,-25.17,62.73,11.2,-516.7698425,-11200.0,-10683.2301575
6,-26.5,62.0,10.26,-774.26953125,-10260.0,-9485.73046875
7,-25.921,62.301,10.75,-698.503744035,-10750.0,-10051.496255965
8,-26.86,61.77,10.6,-764.458156625,-10600.0,-9835.541843375
9,-27.6,61.263,9.71,-583.002700375,-9710.0,-9126.997299625
10,-28.33,60.7765,9.31,-848.705011447,-9310.0,-8461.294988553
11,-27.955,61.024,9.44,-609.733979781,-9440.0,-8830.266020219
12,-29.087,60.307,9.53,-785.691521664,-9530.0,-8744.308478336
13,-28.712,60.463,9.37,-757.041601984,-9370.0,-8612.958398016
14,-29.841,59.77,8.98,-772.088652184,-8980.0,-8207.911347816
15,-29.48415,59.999,9.25,-928.25789938,-9250.0,-8321.74210062
16,-30.037,59.597,8.4,-835.242038144,-8400.0,-7564.757961856
17,-30.9215,58.9385,6.71,-1428.97504396,-6710.0,-5281.02495604
18,-30.49,59.223,7.5,-1029.82802158,-7500.0,-6470.1719784199995
19,-31.66,58.5,6.61,-1659.94160938,-6610.0,-4950.05839062
20,-31.317,58.705,6.61,-1191.63953781,-6610.0,-5418.360462189999
21,-32.373,57.969,6.75,-1776.9059686,-6750.0,-4973.0940314
22,-32.209,58.088,6.75,-1606.75600639,-6750.0,-5143.24399361
23,-32.693,57.72,7.15,-1715.05904766,-7150.0,-5434.94095234
24,-34.261,56.749,7.23,-2458.93149436,-7230.0,-4771.06850564
25,-34.96,55.686,6.62,-2137.9243067,-6620.0,-4482.075693299999
26,-35.135,55.455,6.6,-2254.255317,-6600.0,-4345.744683
27,-35.22,54.76,6.07,-2086.14419025,-6070.0,-3983.85580975
28,-35.4,54.25,5.53,-1040.69140625,-5530.0,-4489.30859375
29,-34.978,52.993,5.0,-1922.99160199,-5000.0,-3077.00839801
30,-31.935,52.45,4.4,-2334.2825625,-4400.0,-2065.7174375
31,>,,,,,
32,>,,,,,
33,>,,,,,
